0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
-37082.44140625,161987.03125,-1505.434814453125,179920.828125,128529.328125,111458.859375,165963.046875,202452.453125,-0.08837890625,0.424560546875,-0.79736328125,0.0,0.0,0.0,73.33333587646484,1.0,1.0,1665552911.8928516
-43944.6953125,993.4010009765625,-10664.375,-1673.1622314453125,-3907.7109375,-64.01539611816406,341.62408447265625,-188.559326171875,-0.0966796875,0.439453125,-0.8232421875,0.0,0.0,0.0,73.33333587646484,2.0,1.0,1665552911.892917
-14391.6630859375,0.0,-8645.833984375,0.0,-3932.834228515625,-1011.461181640625,120.1629867553711,-4335.43408203125,-0.097900390625,0.442626953125,-0.836669921875,0.0,0.0,0.0,73.33333587646484,3.0,1.0,1665552911.8970144
-1640.9757080078125,0.0,-6318.123046875,0.0,-3312.6181640625,-2985.209716796875,420.3916320800781,-5827.90478515625,-0.099853515625,0.4453125,-0.83837890625,0.0,0.0,0.0,73.33333587646484,4.0,1.0,1665552911.9014611
-3656.8349609375,0.0,-4750.4609375,7.510186672210693,-2794.593994140625,-3261.566650390625,938.1474609375,-4711.30078125,-0.09912109375,0.44580078125,-0.839599609375,-2.044677495956421,2.166747808456421,1.1901854276657104,73.33333587646484,5.0,1.0,1665552911.9015174
-3364.205810546875,0.0,-3681.868896484375,-16.54029083251953,-2398.699951171875,-2899.37890625,1667.0826416015625,-3664.52392578125,-0.099853515625,0.447265625,-0.8447265625,-3.723144292831421,1.7700194120407104,1.9531248807907104,73.33333587646484,6.0,1.0,1665552911.930081
-2665.40087890625,0.0,-2731.20458984375,-1643.0321044921875,-1993.8651123046875,-2451.8076171875,-547.7071533203125,-2846.71826171875,-0.1015625,0.447021484375,-0.843994140625,-1.5563963651657104,-0.5798339247703552,1.2817381620407104,73.33333587646484,7.0,1.0,1665552911.9301445
-2092.48095703125,0.0,-1817.01806640625,-2083.71923828125,-1684.9639892578125,-2043.1282958984375,-1666.2779541015625,-2268.076416015625,-0.101318359375,0.44580078125,-0.84375,-0.9460448622703552,-1.3732908964157104,0.9765624403953552,73.33333587646484,8.0,1.0,1665552911.9575896
-1615.31591796875,21.45767593383789,-1649.3800048828125,-1691.7589111328125,-1417.1900634765625,-1655.19140625,-1532.5250244140625,-1827.03173828125,-0.1015625,0.448486328125,-0.84326171875,-0.7324218153953552,-1.6479490995407104,0.8239745497703552,73.33333587646484,9.0,1.0,1665552911.957658
-1222.90869140625,335.9914245605469,-1305.3419189453125,-1316.607177734375,-1147.1810302734375,-1239.7171630859375,-1253.843505859375,-1464.6651611328125,-0.10400390625,0.447265625,-0.84228515625,-0.6103515028953552,-1.8310545682907104,0.7324218153953552,73.33333587646484,10.0,1.0,1665552911.9820004
-935.8228759765625,-169.068603515625,-1006.9014282226562,-952.0055541992188,-886.6490478515625,-851.7803344726562,-945.389404296875,-1188.0399169921875,-0.102294921875,0.446533203125,-0.84228515625,-0.5493163466453552,-1.9226073026657104,0.7934569716453552,73.33333587646484,11.0,1.0,1665552912.0093892
-788.9271850585938,-593.1259155273438,-839.88916015625,-678.77783203125,-685.215087890625,-572.6517333984375,-676.9896850585938,-1045.0782470703125,-0.1015625,0.447265625,-0.846435546875,-0.6408690810203552,-1.8615721464157104,0.7934569716453552,73.33333587646484,12.0,1.0,1665552912.034421
-770.9564208984375,-475.73455810546875,-780.8805541992188,-508.5469055175781,-553.3397827148438,-408.2322692871094,-441.1340637207031,-1051.6943359375,-0.102783203125,0.445556640625,-0.843505859375,-0.5187987685203552,-1.8920897245407104,0.8239745497703552,73.33333587646484,13.0,1.0,1665552912.0619924
-889.9570922851562,-418.33526611328125,-841.7667236328125,-408.2322692871094,-478.416748046875,-336.52789306640625,-201.52333068847656,-1249.10498046875,-0.103271484375,0.446044921875,-0.8408203125,-0.6408690810203552,-1.8310545682907104,0.8544921278953552,73.33333587646484,14.0,1.0,1665552912.0869985
-1094.520263671875,-418.6034851074219,-1004.21923828125,-326.9613342285156,-413.86492919921875,-360.3995361328125,-32.99117660522461,-1374.8111572265625,-0.103759765625,0.447509765625,-0.840087890625,-0.5493163466453552,-1.8310545682907104,0.7934569716453552,73.33333587646484,15.0,1.0,1665552912.1144812
-918.7461547851562,-278.7709655761719,-892.6392822265625,-222.62338256835938,-224.67974853515625,-235.31918334960938,-22.441152572631836,-1051.9625244140625,-0.10302734375,0.447265625,-0.839111328125,-0.5493163466453552,-1.8310545682907104,0.7934569716453552,73.33333587646484,16.0,1.0,1665552912.139532
-504.4342041015625,-310.15283203125,-431.2992858886719,-301.4803466796875,-255.61456298828125,-251.50184631347656,-181.4961700439453,-1017.362060546875,-0.102294921875,0.447021484375,-0.841552734375,-0.5493163466453552,-1.8005369901657104,0.8850097060203552,73.33333587646484,17.0,1.0,1665552912.1695633
-458.56842041015625,-248.730224609375,-315.5172424316406,-320.1664123535156,-307.3811950683594,-323.3850402832031,-302.01678466796875,-568.9860229492188,-0.1015625,0.446533203125,-0.8447265625,-0.5798339247703552,-1.8615721464157104,0.8544921278953552,73.33333587646484,18.0,1.0,1665552912.1969776
-240.68359375,-264.10821533203125,-230.75941467285156,-267.2374572753906,-294.59600830078125,-263.9294128417969,-278.2345275878906,-313.997314453125,-0.102294921875,0.444580078125,-0.8447265625,-0.5798339247703552,-1.8310545682907104,0.8239745497703552,73.33333587646484,19.0,1.0,1665552912.2606463
-179.5292205810547,-246.67385864257812,-189.81101989746094,-241.93528747558594,-255.1675262451172,-225.57382202148438,-266.61163330078125,-232.636962890625,-0.10009765625,0.44482421875,-0.8408203125,-0.5187987685203552,-1.8615721464157104,0.8544921278953552,73.33333587646484,20.0,1.0,1665552912.2795956
-172.28726196289062,-223.5174560546875,-181.31735229492188,-228.97128295898438,-240.86241149902344,-232.10052490234375,-258.4755859375,-218.33184814453125,-0.1015625,0.445556640625,-0.8427734375,-0.4882812201976776,-1.7700194120407104,0.8239745497703552,73.33333587646484,21.0,1.0,1665552912.304604
-167.01223754882812,-214.66616821289062,-175.95294189453125,-222.71279907226562,-234.15689086914062,-228.5242462158203,-250.25013732910156,-210.10641479492188,-0.1005859375,0.4453125,-0.83984375,-0.5798339247703552,-1.8005369901657104,0.8239745497703552,73.33333587646484,22.0,1.0,1665552912.3320992
-163.7041778564453,-207.9606475830078,-171.3931884765625,-216.99073791503906,-228.16661071777344,-222.35516357421875,-242.9187774658203,-204.3843536376953,-0.101318359375,0.4462890625,-0.83837890625,-0.7324218153953552,-1.8310545682907104,0.8239745497703552,73.33333587646484,23.0,1.0,1665552912.3569615
-160.6643524169922,-203.0432586669922,-168.17453002929688,-211.62632751464844,-223.15982055664062,-216.90133666992188,-235.9450225830078,-199.0199432373047,-0.101806640625,0.446533203125,-0.8408203125,-0.6713866591453552,-1.8310545682907104,0.8239745497703552,73.33333587646484,24.0,1.0,1665552912.3845167
-157.89273071289062,-198.6623077392578,-164.50885009765625,-207.60301208496094,-217.8848114013672,-211.89454650878906,-230.13357543945312,-194.1919708251953,-0.10009765625,0.44677734375,-0.84033203125,-0.5798339247703552,-1.8310545682907104,0.8239745497703552,73.33333587646484,25.0,1.0,1665552912.4094913
